"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 10 03:08:24 GMT 2023","Mon Jul 10 03:08:26 GMT 2023","1608","chromium","","","","","has title",""
"failed","Mon Jul 10 03:08:37 GMT 2023","Mon Jul 10 03:08:43 GMT 2023","5756","chromium","","","","","equal",""
