"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 10 03:45:15 GMT 2023","Mon Jul 10 03:45:15 GMT 2023","630","chromium","","","","","test 2",""
"passed","Mon Jul 10 03:45:13 GMT 2023","Mon Jul 10 03:45:15 GMT 2023","2216","chromium","","","","","has title",""
